orb_index = 0, gpp_a = 0.323179
orb_index = 1, gpp_a = 0.330182
orb_index = 2, gpp_a = 0.38093
orb_index = 3, gpp_a = 0.477291
orb_index = 4, gpp_a = 1.11781
orb_index = 5, gpp_a = 1.01935
orb_index = 6, gpp_a = 1.15763
orb_index = 7, gpp_a = 1.15875
orb_index = 8, gpp_a = 1.19526
orb_index = 9, gpp_a = 1.40704
orb_index = 10, gpp_a = 1.9651
orb_index = 11, gpp_a = 2.71675
orb_index = 12, gpp_a = 3.80685
orb_index = 13, gpp_a = 5.56127
orb_index = 14, gpp_a = 10.5
orb_index = 15, gpp_a = 16.394
orb_index = 16, gpp_a = 16.7437
orb_index = 17, gpp_a = 2.91129e-05
orb_index = 18, gpp_a = 2.91011e-05
orb_index = 19, gpp_a = 2.90768e-05
orb_index = 20, gpp_a = 2.90485e-05
orb_index = 21, gpp_a = 2.91287e-05
orb_index = 22, gpp_a = 2.91109e-05
orb_index = 23, gpp_a = 2.88875e-05
orb_index = 24, gpp_a = 2.89412e-05
orb_index = 25, gpp_a = 2.89034e-05
orb_index = 26, gpp_a = 2.8899e-05
orb_index = 27, gpp_a = 2.8848e-05
orb_index = 28, gpp_a = 2.89464e-05
orb_index = 29, gpp_a = 2.89545e-05
orb_index = 30, gpp_a = 2.87539e-05
orb_index = 31, gpp_a = 2.87106e-05
orb_index = 32, gpp_a = 2.87362e-05
orb_index = 33, gpp_a = 2.87721e-05
orb_index = 34, gpp_a = 2.68799e-05
orb_index = 35, gpp_a = 2.68726e-05
orb_index = 36, gpp_a = 2.68419e-05
orb_index = 37, gpp_a = 2.68015e-05
orb_index = 38, gpp_a = 2.68377e-05
orb_index = 39, gpp_a = 2.6835e-05
orb_index = 40, gpp_a = 2.68251e-05
orb_index = 41, gpp_a = 2.67622e-05
orb_index = 42, gpp_a = 2.67374e-05
orb_index = 43, gpp_a = 0
orb_index = 44, gpp_a = 0
orb_index = 45, gpp_a = 0
orb_index = 46, gpp_a = 0
orb_index = 47, gpp_a = 0
orb_index = 48, gpp_a = 0
orb_index = 49, gpp_a = 0
orb_index = 50, gpp_a = 0
orb_index = 51, gpp_a = 0
orb_index = 52, gpp_a = 0
orb_index = 53, gpp_a = 0
orb_index = 54, gpp_a = 0
orb_index = 55, gpp_a = 0
orb_index = 56, gpp_a = 0
orb_index = 57, gpp_a = 0
orb_index = 58, gpp_a = 0
orb_index = 59, gpp_a = 0
orb_index = 60, gpp_a = 0
orb_index = 61, gpp_a = 0
orb_index = 62, gpp_a = 0
orb_index = 63, gpp_a = 0
orb_index = 64, gpp_a = 0
orb_index = 65, gpp_a = 0
orb_index = 66, gpp_a = 0
orb_index = 67, gpp_a = 0
orb_index = 68, gpp_a = 0
orb_index = 69, gpp_a = 0
orb_index = 70, gpp_a = 0
orb_index = 71, gpp_a = 0
orb_index = 72, gpp_a = 0
orb_index = 73, gpp_a = 0
orb_index = 74, gpp_a = 0
orb_index = 75, gpp_a = 0
orb_index = 76, gpp_a = 0
orb_index = 77, gpp_a = 0
orb_index = 78, gpp_a = 0
orb_index = 79, gpp_a = 0
orb_index = 80, gpp_a = 0
orb_index = 81, gpp_a = 0
orb_index = 82, gpp_a = 0
orb_index = 83, gpp_a = 0
orb_index = 84, gpp_a = 0
w = -19.931, A_a =  66.2558519494
 orb_index = 0, gpp_a = 0.869595
orb_index = 1, gpp_a = 0.900753
orb_index = 2, gpp_a = 1.14679
orb_index = 3, gpp_a = 1.7244
orb_index = 4, gpp_a = 13.7879
orb_index = 5, gpp_a = 10.2529
orb_index = 6, gpp_a = 15.4505
orb_index = 7, gpp_a = 15.3706
orb_index = 8, gpp_a = 17.071
orb_index = 9, gpp_a = 30.8891
orb_index = 10, gpp_a = 85.1644
orb_index = 11, gpp_a = 47.7765
orb_index = 12, gpp_a = 20.4648
orb_index = 13, gpp_a = 10.9159
orb_index = 14, gpp_a = 5.72515
orb_index = 15, gpp_a = 4.28799
orb_index = 16, gpp_a = 1.18041
orb_index = 17, gpp_a = 2.9072e-05
orb_index = 18, gpp_a = 2.90622e-05
orb_index = 19, gpp_a = 2.90758e-05
orb_index = 20, gpp_a = 2.91762e-05
orb_index = 21, gpp_a = 3.1967e-05
orb_index = 22, gpp_a = 3.21721e-05
orb_index = 23, gpp_a = 2.96326e-05
orb_index = 24, gpp_a = 3.10967e-05
orb_index = 25, gpp_a = 3.08035e-05
orb_index = 26, gpp_a = 3.12855e-05
orb_index = 27, gpp_a = 3.05013e-05
orb_index = 28, gpp_a = 3.0794e-05
orb_index = 29, gpp_a = 3.10456e-05
orb_index = 30, gpp_a = 2.83227e-05
orb_index = 31, gpp_a = 2.82184e-05
orb_index = 32, gpp_a = 2.81995e-05
orb_index = 33, gpp_a = 2.819e-05
orb_index = 34, gpp_a = 2.66982e-05
orb_index = 35, gpp_a = 2.66906e-05
orb_index = 36, gpp_a = 2.66603e-05
orb_index = 37, gpp_a = 2.66207e-05
orb_index = 38, gpp_a = 2.66568e-05
orb_index = 39, gpp_a = 2.66563e-05
orb_index = 40, gpp_a = 2.66479e-05
orb_index = 41, gpp_a = 2.65826e-05
orb_index = 42, gpp_a = 2.65602e-05
orb_index = 43, gpp_a = 0
orb_index = 44, gpp_a = 0
orb_index = 45, gpp_a = 0
orb_index = 46, gpp_a = 0
orb_index = 47, gpp_a = 0
orb_index = 48, gpp_a = 0
orb_index = 49, gpp_a = 0
orb_index = 50, gpp_a = 0
orb_index = 51, gpp_a = 0
orb_index = 52, gpp_a = 0
orb_index = 53, gpp_a = 0
orb_index = 54, gpp_a = 0
orb_index = 55, gpp_a = 0
orb_index = 56, gpp_a = 0
orb_index = 57, gpp_a = 0
orb_index = 58, gpp_a = 0
orb_index = 59, gpp_a = 0
orb_index = 60, gpp_a = 0
orb_index = 61, gpp_a = 0
orb_index = 62, gpp_a = 0
orb_index = 63, gpp_a = 0
orb_index = 64, gpp_a = 0
orb_index = 65, gpp_a = 0
orb_index = 66, gpp_a = 0
orb_index = 67, gpp_a = 0
orb_index = 68, gpp_a = 0
orb_index = 69, gpp_a = 0
orb_index = 70, gpp_a = 0
orb_index = 71, gpp_a = 0
orb_index = 72, gpp_a = 0
orb_index = 73, gpp_a = 0
orb_index = 74, gpp_a = 0
orb_index = 75, gpp_a = 0
orb_index = 76, gpp_a = 0
orb_index = 77, gpp_a = 0
orb_index = 78, gpp_a = 0
orb_index = 79, gpp_a = 0
orb_index = 80, gpp_a = 0
orb_index = 81, gpp_a = 0
orb_index = 82, gpp_a = 0
orb_index = 83, gpp_a = 0
orb_index = 84, gpp_a = 0
w = -19.996, A_a =  282.979415125
 orb_index = 0, gpp_a = 0.923251
orb_index = 1, gpp_a = 0.957354
orb_index = 2, gpp_a = 1.22849
orb_index = 3, gpp_a = 1.8764
orb_index = 4, gpp_a = 17.3124
orb_index = 5, gpp_a = 12.5257
orb_index = 6, gpp_a = 19.6049
orb_index = 7, gpp_a = 19.4889
orb_index = 8, gpp_a = 21.8566
orb_index = 9, gpp_a = 41.3625
orb_index = 10, gpp_a = 83.051
orb_index = 11, gpp_a = 35.5386
orb_index = 12, gpp_a = 16.0631
orb_index = 13, gpp_a = 9.03096
orb_index = 14, gpp_a = 4.96212
orb_index = 15, gpp_a = 3.78286
orb_index = 16, gpp_a = 1.10276
orb_index = 17, gpp_a = 2.90871e-05
orb_index = 18, gpp_a = 2.90787e-05
orb_index = 19, gpp_a = 2.90985e-05
orb_index = 20, gpp_a = 2.91615e-05
orb_index = 21, gpp_a = 3.23931e-05
orb_index = 22, gpp_a = 3.26704e-05
orb_index = 23, gpp_a = 2.97979e-05
orb_index = 24, gpp_a = 3.10609e-05
orb_index = 25, gpp_a = 3.07767e-05
orb_index = 26, gpp_a = 3.13438e-05
orb_index = 27, gpp_a = 3.08556e-05
orb_index = 28, gpp_a = 3.02789e-05
orb_index = 29, gpp_a = 3.07374e-05
orb_index = 30, gpp_a = 2.83119e-05
orb_index = 31, gpp_a = 2.82161e-05
orb_index = 32, gpp_a = 2.8203e-05
orb_index = 33, gpp_a = 2.81803e-05
orb_index = 34, gpp_a = 2.66899e-05
orb_index = 35, gpp_a = 2.66823e-05
orb_index = 36, gpp_a = 2.6652e-05
orb_index = 37, gpp_a = 2.66122e-05
orb_index = 38, gpp_a = 2.66485e-05
orb_index = 39, gpp_a = 2.66482e-05
orb_index = 40, gpp_a = 2.66394e-05
orb_index = 41, gpp_a = 2.65746e-05
orb_index = 42, gpp_a = 2.65521e-05
orb_index = 43, gpp_a = 0
orb_index = 44, gpp_a = 0
orb_index = 45, gpp_a = 0
orb_index = 46, gpp_a = 0
orb_index = 47, gpp_a = 0
orb_index = 48, gpp_a = 0
orb_index = 49, gpp_a = 0
orb_index = 50, gpp_a = 0
orb_index = 51, gpp_a = 0
orb_index = 52, gpp_a = 0
orb_index = 53, gpp_a = 0
orb_index = 54, gpp_a = 0
orb_index = 55, gpp_a = 0
orb_index = 56, gpp_a = 0
orb_index = 57, gpp_a = 0
orb_index = 58, gpp_a = 0
orb_index = 59, gpp_a = 0
orb_index = 60, gpp_a = 0
orb_index = 61, gpp_a = 0
orb_index = 62, gpp_a = 0
orb_index = 63, gpp_a = 0
orb_index = 64, gpp_a = 0
orb_index = 65, gpp_a = 0
orb_index = 66, gpp_a = 0
orb_index = 67, gpp_a = 0
orb_index = 68, gpp_a = 0
orb_index = 69, gpp_a = 0
orb_index = 70, gpp_a = 0
orb_index = 71, gpp_a = 0
orb_index = 72, gpp_a = 0
orb_index = 73, gpp_a = 0
orb_index = 74, gpp_a = 0
orb_index = 75, gpp_a = 0
orb_index = 76, gpp_a = 0
orb_index = 77, gpp_a = 0
orb_index = 78, gpp_a = 0
orb_index = 79, gpp_a = 0
orb_index = 80, gpp_a = 0
orb_index = 81, gpp_a = 0
orb_index = 82, gpp_a = 0
orb_index = 83, gpp_a = 0
orb_index = 84, gpp_a = 0
