orb_index = 0, gpp_a = 0.0111268
orb_index = 1, gpp_a = 0.0110819
orb_index = 2, gpp_a = 0.0107975
orb_index = 3, gpp_a = 0.0104018
orb_index = 4, gpp_a = 0.00931507
orb_index = 5, gpp_a = 0.00944005
orb_index = 6, gpp_a = 0.00928946
orb_index = 7, gpp_a = 0.00932598
orb_index = 8, gpp_a = 0.00929779
orb_index = 9, gpp_a = 0.00915901
orb_index = 10, gpp_a = 0.00887929
orb_index = 11, gpp_a = 0.00870549
orb_index = 12, gpp_a = 0.00854164
orb_index = 13, gpp_a = 0.0084257
orb_index = 14, gpp_a = 0.00824093
orb_index = 15, gpp_a = 0.00814178
orb_index = 16, gpp_a = 0.00749291
orb_index = 17, gpp_a = 2.59654e-05
orb_index = 18, gpp_a = 2.59564e-05
orb_index = 19, gpp_a = 2.59302e-05
orb_index = 20, gpp_a = 2.58901e-05
orb_index = 21, gpp_a = 2.58633e-05
orb_index = 22, gpp_a = 2.58381e-05
orb_index = 23, gpp_a = 2.5738e-05
orb_index = 24, gpp_a = 2.57289e-05
orb_index = 25, gpp_a = 2.57313e-05
orb_index = 26, gpp_a = 2.57144e-05
orb_index = 27, gpp_a = 2.56857e-05
orb_index = 28, gpp_a = 2.56733e-05
orb_index = 29, gpp_a = 2.5666e-05
orb_index = 30, gpp_a = 2.55973e-05
orb_index = 31, gpp_a = 2.55594e-05
orb_index = 32, gpp_a = 2.55427e-05
orb_index = 33, gpp_a = 2.54534e-05
orb_index = 34, gpp_a = 2.41262e-05
orb_index = 35, gpp_a = 2.412e-05
orb_index = 36, gpp_a = 2.40938e-05
orb_index = 37, gpp_a = 2.40595e-05
orb_index = 38, gpp_a = 2.40924e-05
orb_index = 39, gpp_a = 2.409e-05
orb_index = 40, gpp_a = 2.40816e-05
orb_index = 41, gpp_a = 2.4027e-05
orb_index = 42, gpp_a = 2.4006e-05
orb_index = 43, gpp_a = 0
orb_index = 44, gpp_a = 0
orb_index = 45, gpp_a = 0
orb_index = 46, gpp_a = 0
orb_index = 47, gpp_a = 0
orb_index = 48, gpp_a = 0
orb_index = 49, gpp_a = 0
orb_index = 50, gpp_a = 0
orb_index = 51, gpp_a = 0
orb_index = 52, gpp_a = 0
orb_index = 53, gpp_a = 0
orb_index = 54, gpp_a = 0
orb_index = 55, gpp_a = 0
orb_index = 56, gpp_a = 0
orb_index = 57, gpp_a = 0
orb_index = 58, gpp_a = 0
orb_index = 59, gpp_a = 0
orb_index = 60, gpp_a = 0
orb_index = 61, gpp_a = 0
orb_index = 62, gpp_a = 0
orb_index = 63, gpp_a = 0
orb_index = 64, gpp_a = 0
orb_index = 65, gpp_a = 0
orb_index = 66, gpp_a = 0
orb_index = 67, gpp_a = 0
orb_index = 68, gpp_a = 0
orb_index = 69, gpp_a = 0
orb_index = 70, gpp_a = 0
orb_index = 71, gpp_a = 0
orb_index = 72, gpp_a = 0
orb_index = 73, gpp_a = 0
orb_index = 74, gpp_a = 0
orb_index = 75, gpp_a = 0
orb_index = 76, gpp_a = 0
orb_index = 77, gpp_a = 0
orb_index = 78, gpp_a = 0
orb_index = 79, gpp_a = 0
orb_index = 80, gpp_a = 0
orb_index = 81, gpp_a = 0
orb_index = 82, gpp_a = 0
orb_index = 83, gpp_a = 0
orb_index = 84, gpp_a = 0
w = -20.991, A_a =  0.158317330947
 orb_index = 0, gpp_a = 0.0111518
orb_index = 1, gpp_a = 0.0111067
orb_index = 2, gpp_a = 0.0108213
orb_index = 3, gpp_a = 0.0104243
orb_index = 4, gpp_a = 0.00933428
orb_index = 5, gpp_a = 0.00945959
orb_index = 6, gpp_a = 0.00930858
orb_index = 7, gpp_a = 0.00934518
orb_index = 8, gpp_a = 0.0093169
orb_index = 9, gpp_a = 0.0091777
orb_index = 10, gpp_a = 0.00889719
orb_index = 11, gpp_a = 0.00872286
orb_index = 12, gpp_a = 0.00855853
orb_index = 13, gpp_a = 0.00844222
orb_index = 14, gpp_a = 0.00825691
orb_index = 15, gpp_a = 0.00815747
orb_index = 16, gpp_a = 0.0075068
orb_index = 17, gpp_a = 2.59681e-05
orb_index = 18, gpp_a = 2.59591e-05
orb_index = 19, gpp_a = 2.59329e-05
orb_index = 20, gpp_a = 2.58928e-05
orb_index = 21, gpp_a = 2.58659e-05
orb_index = 22, gpp_a = 2.58407e-05
orb_index = 23, gpp_a = 2.57407e-05
orb_index = 24, gpp_a = 2.57315e-05
orb_index = 25, gpp_a = 2.57339e-05
orb_index = 26, gpp_a = 2.57171e-05
orb_index = 27, gpp_a = 2.56883e-05
orb_index = 28, gpp_a = 2.5676e-05
orb_index = 29, gpp_a = 2.56686e-05
orb_index = 30, gpp_a = 2.55999e-05
orb_index = 31, gpp_a = 2.5562e-05
orb_index = 32, gpp_a = 2.55453e-05
orb_index = 33, gpp_a = 2.54559e-05
orb_index = 34, gpp_a = 2.41286e-05
orb_index = 35, gpp_a = 2.41224e-05
orb_index = 36, gpp_a = 2.40962e-05
orb_index = 37, gpp_a = 2.40618e-05
orb_index = 38, gpp_a = 2.40948e-05
orb_index = 39, gpp_a = 2.40924e-05
orb_index = 40, gpp_a = 2.4084e-05
orb_index = 41, gpp_a = 2.40294e-05
orb_index = 42, gpp_a = 2.40084e-05
orb_index = 43, gpp_a = 0
orb_index = 44, gpp_a = 0
orb_index = 45, gpp_a = 0
orb_index = 46, gpp_a = 0
orb_index = 47, gpp_a = 0
orb_index = 48, gpp_a = 0
orb_index = 49, gpp_a = 0
orb_index = 50, gpp_a = 0
orb_index = 51, gpp_a = 0
orb_index = 52, gpp_a = 0
orb_index = 53, gpp_a = 0
orb_index = 54, gpp_a = 0
orb_index = 55, gpp_a = 0
orb_index = 56, gpp_a = 0
orb_index = 57, gpp_a = 0
orb_index = 58, gpp_a = 0
orb_index = 59, gpp_a = 0
orb_index = 60, gpp_a = 0
orb_index = 61, gpp_a = 0
orb_index = 62, gpp_a = 0
orb_index = 63, gpp_a = 0
orb_index = 64, gpp_a = 0
orb_index = 65, gpp_a = 0
orb_index = 66, gpp_a = 0
orb_index = 67, gpp_a = 0
orb_index = 68, gpp_a = 0
orb_index = 69, gpp_a = 0
orb_index = 70, gpp_a = 0
orb_index = 71, gpp_a = 0
orb_index = 72, gpp_a = 0
orb_index = 73, gpp_a = 0
orb_index = 74, gpp_a = 0
orb_index = 75, gpp_a = 0
orb_index = 76, gpp_a = 0
orb_index = 77, gpp_a = 0
orb_index = 78, gpp_a = 0
orb_index = 79, gpp_a = 0
orb_index = 80, gpp_a = 0
orb_index = 81, gpp_a = 0
orb_index = 82, gpp_a = 0
orb_index = 83, gpp_a = 0
orb_index = 84, gpp_a = 0
w = -20.99, A_a =  0.158642612745
 orb_index = 0, gpp_a = 0.0109062
orb_index = 1, gpp_a = 0.0108626
orb_index = 2, gpp_a = 0.0105864
orb_index = 3, gpp_a = 0.010202
orb_index = 4, gpp_a = 0.0091449
orb_index = 5, gpp_a = 0.00926681
orb_index = 6, gpp_a = 0.00912
