orb_index = 0, gpp_a = 0.191913
orb_index = 1, gpp_a = 0.185692
orb_index = 2, gpp_a = 0.110983
orb_index = 3, gpp_a = 0.0967509
orb_index = 4, gpp_a = 0.0918884
orb_index = 5, gpp_a = 2.91011e-05
orb_index = 6, gpp_a = 2.90925e-05
orb_index = 7, gpp_a = 2.88458e-05
orb_index = 8, gpp_a = 2.87073e-05
orb_index = 9, gpp_a = 2.86761e-05
orb_index = 10, gpp_a = 2.667e-05
orb_index = 11, gpp_a = 2.66442e-05
orb_index = 12, gpp_a = 2.66056e-05
orb_index = 13, gpp_a = 2.64959e-05
orb_index = 14, gpp_a = 2.64317e-05
orb_index = 15, gpp_a = 2.63927e-05
orb_index = 16, gpp_a = 2.62848e-05
orb_index = 17, gpp_a = 2.62004e-05
orb_index = 18, gpp_a = 2.61629e-05
orb_index = 19, gpp_a = 4.08474e-09
orb_index = 20, gpp_a = 1.51228e-09
orb_index = 21, gpp_a = 3.49597e-08
orb_index = 22, gpp_a = -2.97534e-10
orb_index = 23, gpp_a = -1.56659e-11
orb_index = 24, gpp_a = -2.51355e-11
w = -20, A_a =  0.677608940622
 orb_index = 0, gpp_a = 0.193716
orb_index = 1, gpp_a = 0.187409
orb_index = 2, gpp_a = 0.111777
orb_index = 3, gpp_a = 0.0973978
orb_index = 4, gpp_a = 0.0924879
orb_index = 5, gpp_a = 2.91074e-05
orb_index = 6, gpp_a = 2.90987e-05
orb_index = 7, gpp_a = 2.88503e-05
orb_index = 8, gpp_a = 2.87115e-05
orb_index = 9, gpp_a = 2.86803e-05
orb_index = 10, gpp_a = 2.66728e-05
orb_index = 11, gpp_a = 2.66469e-05
orb_index = 12, gpp_a = 2.66084e-05
orb_index = 13, gpp_a = 2.64986e-05
orb_index = 14, gpp_a = 2.64344e-05
orb_index = 15, gpp_a = 2.63956e-05
orb_index = 16, gpp_a = 2.62877e-05
orb_index = 17, gpp_a = 2.62032e-05
orb_index = 18, gpp_a = 2.61657e-05
orb_index = 19, gpp_a = 4.11079e-09
orb_index = 20, gpp_a = 1.52194e-09
orb_index = 21, gpp_a = 3.52039e-08
orb_index = 22, gpp_a = -2.86702e-10
orb_index = 23, gpp_a = -1.53113e-11
orb_index = 24, gpp_a = -2.50662e-11
w = -19.999, A_a =  0.683169825605
 orb_index = 0, gpp_a = 0.195544
orb_index = 1, gpp_a = 0.18915
orb_index = 2, gpp_a = 0.11258
orb_index = 3, gpp_a = 0.0980511
orb_index = 4, gpp_a = 0.0930932
orb_index = 5, gpp_a = 2.91138e-05
orb_index = 6, gpp_a = 2.9105e-05
orb_index = 7, gpp_a = 2.88549e-05
orb_index = 8, gpp_a = 2.87158e-05
orb_index = 9, gpp_a = 2.86845e-05
orb_index = 10, gpp_a = 2.66756e-05
orb_index = 11, gpp_a = 2.66497e-05
orb_index = 12, gpp_a = 2.66112e-05
orb_index = 13, gpp_a = 2.65014e-05
orb_index = 14, gpp_a = 2.64372e-05
orb_index = 15, gpp_a = 2.63985e-05
orb_index = 16, gpp_a = 2.62906e-05
orb_index = 17, gpp_a = 2.6206e-05
orb_index = 18, gpp_a = 2.61685e-05
orb_index = 19, gpp_a = 4.1371e-09
orb_index = 20, gpp_a = 1.5317e-09
orb_index = 21, gpp_a = 3.54507e-08
orb_index = 22, gpp_a = -2.75758e-10
orb_index = 23, gpp_a = -1.49527e-11
orb_index = 24, gpp_a = -2.49961e-11
w = -19.998, A_a =  0.688801071326
 orb_index = 0, gpp_a = 0.197399
orb_index = 1, gpp_a = 0.190915
orb_index = 2, gpp_a = 0.113392
orb_index = 3, gpp_a = 0.098711
orb_index = 4, gpp_a = 0.0937045
orb_index = 5, gpp_a = 2.91203e-05
orb_index = 6, gpp_a = 2.91113e-05
orb_index = 7, gpp_a = 2.88595e-05
orb_index = 8, gpp_a = 2.87202e-05
orb_index = 9, gpp_a = 2.86887e-05
orb_index = 10, gpp_a = 2.66784e-05
orb_index = 11, gpp_a = 2.66525e-05
orb_index = 12, gpp_a = 2.6614e-05
orb_index = 13, gpp_a = 2.65042e-05
orb_index = 14, gpp_a = 2.64399e-05
orb_index = 15, gpp_a = 2.64014e-05
orb_index = 16, gpp_a = 2.62935e-05
orb_index = 17, gpp_a = 2.62088e-05
orb_index = 18, gpp_a = 2.61712e-05
orb_index = 19, gpp_a = 4.16367e-09
orb_index = 20, gpp_a = 1.54156e-09
orb_index = 21, gpp_a = 3.57001e-08
orb_index = 22, gpp_a = -2.64702e-10
orb_index = 23, gpp_a = -1.45901e-11
orb_index = 24, gpp_a = -2.49251e-11
w = -19.997, A_a =  0.694503894345
 orb_index = 0, gpp_a = 0.19928
orb_index = 1, gpp_a = 0.192705
orb_index = 2, gpp_a = 0.114213
orb_index = 3, gpp_a = 0.0993776
orb_index = 4, gpp_a = 0.0943219
orb_index = 5, gpp_a = 2.91267e-05
orb_index = 6, gpp_a = 2.91177e-05
orb_index = 7, gpp_a = 2.8864e-05
orb_index = 8, gpp_a = 2.87245e-05
orb_index = 9, gpp_a = 2.8693e-05
orb_index = 10, gpp_a = 2.66811e-05
orb_index = 11, gpp_a = 2.66553e-05
orb_index = 12, gpp_a = 2.66168e-05
orb_index = 13, gpp_a = 2.65069e-05
orb_index = 14, gpp_a = 2.64427e-05
orb_index = 15, gpp_a = 2.64043e-05
orb_index = 16, gpp_a = 2.62964e-05
orb_index = 17, gpp_a = 2.62116e-05
orb_index = 18, gpp_a = 2.6174e-05
orb_index = 19, gpp_a = 4.19051e-09
orb_index = 20, gpp_a = 1.55151e-09
orb_index = 21, gpp_a = 3.59522e-08
orb_index = 22, gpp_a = -2.53531e-10
orb_index = 23, gpp_a = -1.42235e-11
orb_index = 24, gpp_a = -2.48532e-11
w = -19.996, A_a =  0.700279538097
 orb_index = 0, gpp_a = 0.201188
orb_index = 1, gpp_a = 0.19452
orb_index = 2, gpp_a = 0.115043
orb_index = 3, gpp_a = 0.100051
orb_index = 4, gpp_a = 0.0949453
orb_index = 5, gpp_a = 2.91333e-05
orb_index = 6, gpp_a = 2.91241e-05
orb_index = 7, gpp_a = 2.88687e-05
orb_index = 8, gpp_a = 2.87288e-05
orb_index = 9, gpp_a = 2.86972e-05
orb_index = 10, gpp_a = 2.66839e-05
orb_index = 11, gpp_a = 2.66581e-05
orb_index = 12, gpp_a = 2.66195e-05
orb_index = 13, gpp_a = 2.65097e-05
orb_index = 14, gpp_a = 2.64454e-05
