orb_index = 0, gpp_a = 0.00832172
orb_index = 1, gpp_a = 0.00825626
orb_index = 2, gpp_a = 0.00338626
orb_index = 3, gpp_a = 0.00221627
orb_index = 4, gpp_a = 0.00220751
orb_index = 5, gpp_a = 0.00279415
orb_index = 6, gpp_a = 0.00283138
orb_index = 7, gpp_a = 0.00277415
orb_index = 8, gpp_a = 2.88662e-05
orb_index = 9, gpp_a = 2.88451e-05
orb_index = 10, gpp_a = 1.75985e-08
orb_index = 11, gpp_a = 1.29749e-08
orb_index = 12, gpp_a = 1.22014e-08
orb_index = 13, gpp_a = 1.47784e-08
orb_index = 14, gpp_a = 1.49691e-08
orb_index = 15, gpp_a = 1.46516e-08
orb_index = 16, gpp_a = 3.1602e-12
orb_index = 17, gpp_a = 1.1757e-13
orb_index = 18, gpp_a = 3.31746e-14
orb_index = 19, gpp_a = 1.4329e-10
orb_index = 20, gpp_a = 4.78388e-11
orb_index = 21, gpp_a = 4.53446e-11
orb_index = 22, gpp_a = 1.5169e-11
orb_index = 23, gpp_a = 1.01876e-11
orb_index = 24, gpp_a = 1.73947e-09
orb_index = 25, gpp_a = 1.17077e-09
orb_index = 26, gpp_a = 2.26125e-09
orb_index = 27, gpp_a = 1.07627e-09
orb_index = 28, gpp_a = 1.0126e-09
orb_index = 29, gpp_a = 7.88115e-10
orb_index = 30, gpp_a = 7.86687e-10
orb_index = 31, gpp_a = 2.80254e-10
orb_index = 32, gpp_a = 1.77686e-10
orb_index = 33, gpp_a = 2.8495e-11
orb_index = 34, gpp_a = 7.82676e-10
orb_index = 35, gpp_a = 5.2038e-11
orb_index = 36, gpp_a = 2.05216e-11
orb_index = 37, gpp_a = 1.10203e-12
orb_index = 38, gpp_a = 1.18538e-12
orb_index = 39, gpp_a = 1.09262e-13
w = -19.999, A_a =  0.0328455109427
 orb_index = 0, gpp_a = 0.0083383
orb_index = 1, gpp_a = 0.00827265
orb_index = 2, gpp_a = 0.00339057
orb_index = 3, gpp_a = 0.00221856
orb_index = 4, gpp_a = 0.0022098
orb_index = 5, gpp_a = 0.00279739
orb_index = 6, gpp_a = 0.00283469
orb_index = 7, gpp_a = 0.00277737
orb_index = 8, gpp_a = 2.88698e-05
orb_index = 9, gpp_a = 2.88487e-05
orb_index = 10, gpp_a = 1.7621e-08
orb_index = 11, gpp_a = 1.29901e-08
orb_index = 12, gpp_a = 1.22144e-08
orb_index = 13, gpp_a = 1.47956e-08
orb_index = 14, gpp_a = 1.49867e-08
orb_index = 15, gpp_a = 1.46685e-08
orb_index = 16, gpp_a = 3.16428e-12
orb_index = 17, gpp_a = 1.17727e-13
orb_index = 18, gpp_a = 3.32169e-14
orb_index = 19, gpp_a = 1.43531e-10
orb_index = 20, gpp_a = 4.7904e-11
orb_index = 21, gpp_a = 4.5417e-11
orb_index = 22, gpp_a = 1.51878e-11
orb_index = 23, gpp_a = 1.02007e-11
orb_index = 24, gpp_a = 1.74277e-09
orb_index = 25, gpp_a = 1.17248e-09
orb_index = 26, gpp_a = 2.26615e-09
orb_index = 27, gpp_a = 1.07788e-09
orb_index = 28, gpp_a = 1.01394e-09
orb_index = 29, gpp_a = 7.89099e-10
orb_index = 30, gpp_a = 7.87634e-10
orb_index = 31, gpp_a = 2.806e-10
orb_index = 32, gpp_a = 1.7791e-10
orb_index = 33, gpp_a = 2.85289e-11
orb_index = 34, gpp_a = 7.83587e-10
orb_index = 35, gpp_a = 5.20981e-11
orb_index = 36, gpp_a = 2.05458e-11
orb_index = 37, gpp_a = 1.10315e-12
orb_index = 38, gpp_a = 1.18668e-12
orb_index = 39, gpp_a = 1.09463e-13
w = -19.998, A_a =  0.0328971549582
 orb_index = 0, gpp_a = 0.00837161
orb_index = 1, gpp_a = 0.00830558
orb_index = 2, gpp_a = 0.00339922
orb_index = 3, gpp_a = 0.00222316
orb_index = 4, gpp_a = 0.00221437
orb_index = 5, gpp_a = 0.0028039
orb_index = 6, gpp_a = 0.00284134
orb_index = 7, gpp_a = 0.00278381
orb_index = 8, gpp_a = 2.8877e-05
orb_index = 9, gpp_a = 2.88559e-05
orb_index = 10, gpp_a = 1.7666e-08
orb_index = 11, gpp_a = 1.30206e-08
orb_index = 12, gpp_a = 1.22405e-08
orb_index = 13, gpp_a = 1.48301e-08
orb_index = 14, gpp_a = 1.50218e-08
orb_index = 15, gpp_a = 1.47024e-08
orb_index = 16, gpp_a = 3.17246e-12
orb_index = 17, gpp_a = 1.18043e-13
orb_index = 18, gpp_a = 3.33019e-14
orb_index = 19, gpp_a = 1.44016e-10
orb_index = 20, gpp_a = 4.80347e-11
orb_index = 21, gpp_a = 4.55626e-11
orb_index = 22, gpp_a = 1.52254e-11
orb_index = 23, gpp_a = 1.02269e-11
orb_index = 24, gpp_a = 1.74941e-09
orb_index = 25, gpp_a = 1.17592e-09
orb_index = 26, gpp_a = 2.27599e-09
orb_index = 27, gpp_a = 1.08113e-09
orb_index = 28, gpp_a = 1.01662e-09
orb_index = 29, gpp_a = 7.91071e-10
orb_index = 30, gpp_a = 7.89532e-10
orb_index = 31, gpp_a = 2.81293e-10
orb_index = 32, gpp_a = 1.78359e-10
orb_index = 33, gpp_a = 2.85969e-11
orb_index = 34, gpp_a = 7.85416e-10
orb_index = 35, gpp_a = 5.22187e-11
orb_index = 36, gpp_a = 2.05942e-11
orb_index = 37, gpp_a = 1.10539e-12
orb_index = 38, gpp_a = 1.18927e-12
orb_index = 39, gpp_a = 1.09869e-13
w = -19.996, A_a =  0.0330008360273
 orb_index = 0, gpp_a = 0.00830518
orb_index = 1, gpp_a = 0.00823992
orb_index = 2, gpp_a = 0.00338195
orb_index = 3, gpp_a = 0.00221398
orb_index = 4, gpp_a = 0.00220523
orb_index = 5, gpp_a = 0.00279091
orb_index = 6, gpp_a = 0.00282807
orb_index = 7, gpp_a = 0.00277095
orb_index = 8, gpp_a = 2.88626e-05
orb_index = 9, gpp_a = 2.88415e-05
orb_index = 10, gpp_a = 1.75761e-08
orb_index = 11, gpp_a = 1.29598e-08
orb_index = 12, gpp_a = 1.21884e-08
orb_index = 13, gpp_a = 1.47612e-08
orb_index = 14, gpp_a = 1.49517e-08
orb_index = 15, gpp_a = 1.46347e-08
orb_index = 16, gpp_a = 3.15614e-12
orb_index = 17, gpp_a = 1.17413e-13
orb_index = 18, gpp_a = 3.31323e-14
orb_index = 19, gpp_a = 1.4305e-10
orb_index = 20, gpp_a = 4.77738e-11
orb_index = 21, gpp_a = 4.52722e-11
orb_index = 22, gpp_a = 1.51503e-11
orb_index = 23, gpp_a = 1.01746e-11
orb_index = 24, gpp_a = 1.73618e-09
orb_index = 25, gpp_a = 1.16906e-09
orb_index = 26, gpp_a = 2.25637e-09
orb_index = 27, gpp_a = 1.07465e-09
orb_index = 28, gpp_a = 1.01126e-09
orb_index = 29, gpp_a = 7.87134e-10
orb_index = 30, gpp_a = 7.85742e-10
orb_index = 31, gpp_a = 2.79909e-10
orb_index = 32, gpp_a = 1.77462e-10
orb_index = 33, gpp_a = 2.84611e-11
orb_index = 34, gpp_a = 7.81766e-10
orb_index = 35, gpp_a = 5.1978e-11
orb_index = 36, gpp_a = 2.04975e-11
orb_index = 37, gpp_a = 1.10092e-12
orb_index = 38, gpp_a = 1.18409e-12
orb_index = 39, gpp_a = 1.0906e-13
w = -20, A_a =  0.0327939973185
 orb_index = 0, gpp_a = 0.00838834
orb_index = 1, gpp_a = 0.00832211
orb_index = 2, gpp_a = 0.00340356
orb_index = 3, gpp_a = 0.00222547
orb_index = 4, gpp_a = 0.00221667
orb_index = 5, gpp_a = 0.00280717
orb_index = 6, gpp_a = 0.00284467
orb_index = 7, gpp_a = 0.00278705
orb_index = 8, gpp_a = 2.88806e-05
orb_index = 9, gpp_a = 2.88595e-05
orb_index = 10, gpp_a = 1.76886e-08
orb_index = 11, gpp_a = 1.30358e-08
orb_index = 12, gpp_a = 1.22536e-08
orb_index = 13, gpp_a = 1.48473e-08
orb_index = 14, gpp_a = 1.50394e-08
orb_index = 15, gpp_a = 1.47194e-08
orb_index = 16, gpp_a = 3.17658e-12
orb_index = 17, gpp_a = 1.18201e-13
orb_index = 18, gpp_a = 3.33445e-14
orb_index = 19, gpp_a = 1.44259e-10
orb_index = 20, gpp_a = 4.81002e-11
orb_index = 21, gpp_a = 4.56357e-11
orb_index = 22, gpp_a = 1.52443e-11
orb_index = 23, gpp_a = 1.02401e-11
orb_index = 24, gpp_a = 1.75274e-09
orb_index = 25, gpp_a = 1.17765e-09
orb_index = 26, gpp_a = 2.28093e-09
orb_index = 27, gpp_a = 1.08276e-09
orb_index = 28, gpp_a = 1.01797e-09
orb_index = 29, gpp_a = 7.92059e-10
orb_index = 30, gpp_a = 7.90484e-10
orb_index = 31, gpp_a = 2.8164e-10
orb_index = 32, gpp_a = 1.78585e-10
orb_index = 33, gpp_a = 2.8631e-11
orb_index = 34, gpp_a = 7.86332e-10
orb_index = 35, gpp_a = 5.22791e-11
orb_index = 36, gpp_a = 2.06185e-11
orb_index = 37, gpp_a = 1.10651e-12
orb_index = 38, gpp_a = 1.19058e-12
orb_index = 39, gpp_a = 1.10072e-13
w = -19.995, A_a =  0.0330528740186
 orb_index = 0, gpp_a = 0.00835493
orb_index = 1, gpp_a = 0.00828909
orb_index = 2, gpp_a = 0.00339489
orb_index = 3, gpp_a = 0.00222086
orb_index = 4, gpp_a = 0.00221208
orb_index = 5, gpp_a = 0.00280065
orb_index = 6, gpp_a = 0.00283801
orb_index = 7, gpp_a = 0.00278059
orb_index = 8, gpp_a = 2.88734e-05
orb_index = 9, gpp_a = 2.88523e-05
orb_index = 10, gpp_a = 1.76435e-08
orb_index = 11, gpp_a = 1.30053e-08
orb_index = 12, gpp_a = 1.22274e-08
orb_index = 13, gpp_a = 1.48128e-08
orb_index = 14, gpp_a = 1.50042e-08
orb_index = 15, gpp_a = 1.46854e-08
orb_index = 16, gpp_a = 3.16836e-12
orb_index = 17, gpp_a = 1.17885e-13
orb_index = 18, gpp_a = 3.32594e-14
orb_index = 19, gpp_a = 1.43773e-10
orb_index = 20, gpp_a = 4.79692e-11
orb_index = 21, gpp_a = 4.54897e-11
orb_index = 22, gpp_a = 1.52066e-11
orb_index = 23, gpp_a = 1.02138e-11
orb_index = 24, gpp_a = 1.74609e-09
orb_index = 25, gpp_a = 1.1742e-09
orb_index = 26, gpp_a = 2.27106e-09
orb_index = 27, gpp_a = 1.07951e-09
orb_index = 28, gpp_a = 1.01528e-09
orb_index = 29, gpp_a = 7.90084e-10
orb_index = 30, gpp_a = 7.88582e-10
orb_index = 31, gpp_a = 2.80946e-10
orb_index = 32, gpp_a = 1.78135e-10
orb_index = 33, gpp_a = 2.85629e-11
orb_index = 34, gpp_a = 7.84501e-10
orb_index = 35, gpp_a = 5.21583e-11
orb_index = 36, gpp_a = 2.05699e-11
orb_index = 37, gpp_a = 1.10427e-12
orb_index = 38, gpp_a = 1.18797e-12
orb_index = 39, gpp_a = 1.09666e-13
